,artistID,name,genres
69,75,Camouflage,"['synthpop', 'new wave']"
70,76,Electronic,['alternative hip hop']
73,79,Fiction Factory,['new wave']
74,80,Groove Armada,"['big beat', 'trip hop']"
75,81,Portishead,"['trip hop', 'downtempo']"
76,82,Marc Almond,"['synthpop', 'new wave']"
78,84,Cut Copy,"['alternative dance', 'indie dance', 'indie electronic', 'new rave']"
79,85,Spandau Ballet,"['new wave', 'synthpop']"
83,89,Lady Gaga,"['art pop', 'pop']"
84,90,Kosheen,['trip hop']
86,92,Vitamin Z,['new wave']
87,93,Jean-Michel Jarre,"['new age', 'electronic', 'space music']"
90,96,Fleetwood Mac,"['classic rock', 'yacht rock', 'soft rock']"
95,101,Pleq,"['drone', 'ambient', 'glitch']"
96,102,Segue,"['opm', 'p-pop']"
97,103,Max Richter,"['neoclassical', 'minimalism', 'classical', 'ambient']"
98,104,Celer,"['drone', 'ambient', 'space music', 'dark ambient']"
99,105,Pjusk,"['drone', 'ambient', 'dark ambient', 'neoclassical']"
100,106,Pleq & Segue,"['dub techno', 'ambient']"
101,107,Burial,"['idm', 'ambient']"
102,108,Magnitophono,['idm']
103,109,andy graydon,"['drone', 'ambient']"
104,110,ddekombinacja,"['alternative hip hop', 'idm']"
107,113,Dustin O'Halloran,"['neoclassical', 'minimalism']"
108,114,offthesky,"['drone', 'ambient', 'neoclassical', 'dark ambient']"
112,118,Spyweirdos,['idm']
115,121,Lukid,"['idm', 'glitch']"
116,122,Manekinekod,['indie electronic']
117,123,Danny Norbury,"['neoclassical', 'minimalism']"
119,125,aslope,"['uk funky', 'idm']"
122,128,strom noir,"['drone', 'ambient']"
123,129,Aless,['classical']
124,130,Philippe Lamy,"['drone', 'dark ambient', 'ambient']"
126,132,Deaf Center,"['drone', 'dark ambient', 'ambient', 'neoclassical']"
128,134,Big Brotherz,['liquid funk']
131,137,Worm Is Green,['trip hop']
132,138,Library Tapes,"['neoclassical', 'minimalism', 'ambient']"
133,139,Richard Skelton,"['drone', 'ambient', 'neoclassical', 'dark ambient', 'minimalism']"
134,140,Matryoshka,['post-rock']
135,141,Aidan Baker,"['drone', 'dark ambient', 'ambient', 'experimental']"
137,143,Daisuke Miyatani,['ambient']
138,144,Dakota Suite,"['slowcore', 'neoclassical', 'post-rock', 'ambient']"
139,145,Ryonkt,"['drone', 'ambient']"
141,147,Svarte Greiner,"['dark ambient', 'drone', 'neoclassical', 'ambient']"
142,148,The Boats,"['ambient', 'drone']"
145,151,Deep Forest,['new age']
146,152,Porcupine Tree,"['progressive rock', 'progressive metal', 'art rock', 'space rock']"
147,153,De/Vision,"['ebm', 'synthpop', 'industrial', 'darkwave']"
148,154,Radiohead,"['art rock', 'alternative rock']"
150,156,VAST,['pop punk']
153,159,The Cure,"['new wave', 'post-punk', 'darkwave']"
155,161,Enrique Iglesias,"['latin pop', 'latin']"
156,162,God Is an Astronaut,"['post-rock', 'space rock', 'math rock']"
157,163,Pink Floyd,"['progressive rock', 'psychedelic rock', 'classic rock', 'symphonic rock', 'art rock', 'rock']"
165,171,Stereophonics,['britpop']
167,173,Placebo,['britpop']
168,174,Infected Mushroom,"['psytrance', 'trance']"
169,175,Delerium,['trance']
170,176,Scorpions,"['hard rock', 'glam metal', 'rock']"
173,179,Tommy Lee,"['dancehall', 'riddim', 'soca']"
174,180,Roxette,['swedish pop']
175,181,Paradise Lost,"['gothic metal', 'doom metal', 'gothic rock', 'metal', 'sludge metal']"
177,183,Jamiroquai,['acid jazz']
180,186,Blackfield,"['progressive rock', 'progressive metal', 'art rock']"
181,187,a-ha,['sholawat']
182,188,Opeth,"['progressive metal', 'progressive rock', 'metal', 'death metal', 'melodic death metal']"
183,189,Poets of the Fall,['finnish rock']
185,191,OneRepublic,['soft pop']
187,193,Tears for Fears,"['new wave', 'synthpop']"
189,195,Bright Eyes,['indie folk']
190,196,Beirut,"['baroque pop', 'indie folk']"
191,197,Tom Waits,['singer-songwriter']
192,198,System of a Down,"['nu metal', 'metal', 'alternative metal', 'rap metal', 'rock']"
193,199,Arcade Fire,"['indie rock', 'baroque pop']"
194,200,Gogol Bordello,['folk punk']
196,202,CAKE,['alternative rock']
198,204,Damien Rice,['singer-songwriter']
199,205,Andrew Bird,"['baroque pop', 'indie folk']"
200,206,Beck,"['reggaeton', 'latin']"
201,207,Arctic Monkeys,"['indie', 'garage rock']"
202,208,Babyshambles,"['britpop', 'indie rock']"
203,209,My Chemical Romance,"['emo', 'pop punk']"
204,210,Bloc Party,['indie rock']
205,211,The Decemberists,"['baroque pop', 'indie folk']"
206,212,Bob Dylan,"['folk rock', 'folk', 'singer-songwriter', 'roots rock', 'country rock']"
207,213,Jacques Brel,"['chanson', 'variété française']"
210,216,Sparklehorse,['slowcore']
213,219,M. Ward,['gospel r&b']
214,220,Red Hot Chili Peppers,"['funk rock', 'alternative rock', 'rock']"
215,221,Travis,['rap']
216,222,Modest Mouse,"['indie rock', 'indie', 'alternative rock']"
219,225,Interpol,"['indie rock', 'post-punk']"
220,226,Queens of the Stone Age,"['stoner rock', 'alternative rock']"
221,227,The Beatles,"['classic rock', 'psychedelic rock']"
223,229,The Killers,['alternative rock']
224,230,Green Day,"['punk', 'pop punk']"
227,233,Nine Inch Nails,"['industrial rock', 'industrial', 'industrial metal', 'alternative metal', 'nu metal']"
228,234,Nirvana,"['grunge', 'rock']"
232,238,Massive Attack,"['trip hop', 'downtempo']"
233,239,Keyshia Cole,['r&b']
234,240,Racionais MC's,"['brazilian hip hop', 'rap', 'boom bap']"
235,241,Toni Braxton,['r&b']
236,242,Elo da Corrente,"['brazilian hip hop', 'boom bap']"
237,243,Teta Lando,['kizomba']
239,245,Bob Marley & The Wailers,"['reggae', 'roots reggae']"
240,246,Adriana Calcanhotto,"['mpb', 'nova mpb']"
241,247,Maxwell,"['neo soul', 'quiet storm', 'r&b']"
242,248,Pharoahe Monch,['east coast hip hop']
243,249,Common,['worship']
244,250,Bob Marley,"['reggae', 'roots reggae']"
246,252,Tamia,['r&b']
248,254,Lokua Kanza,['rumba congolaise']
249,255,Nach,"['merengue', 'reggaeton', 'latin']"
250,256,Kid Abelha,"['mpb', 'brazilian rock', 'brazilian pop']"
251,257,Mariah Carey,['christmas']
253,259,9th Wonder,['alternative hip hop']
254,260,Floetry,"['neo soul', 'quiet storm']"
255,261,Marisa Monte,"['mpb', 'nova mpb']"
256,262,Mary J. Blige,['r&b']
257,263,Jill Scott,"['neo soul', 'quiet storm']"
258,264,Sara Tavares,"['portuguese hip hop', 'fado']"
260,266,Erykah Badu,"['neo soul', 'r&b']"
261,267,Nas,['pop punk']
262,268,Richard Marx,['soft rock']
263,269,Dru Hill,"['quiet storm', 'r&b']"
265,271,Mos Def,"['east coast hip hop', 'hip hop']"
266,272,Faith Evans,['r&b']
267,273,Avant,"['melodic techno', 'melodic house', 'techno']"
268,274,Bob da Rage Sense,['portuguese hip hop']
269,275,Angie Stone,"['neo soul', 'soul']"
270,276,Gang Starr,"['east coast hip hop', 'hip hop', 'boom bap']"
271,277,Papa Wemba,"['rumba congolaise', 'afropop']"
272,278,2Pac,"['gangster rap', 'west coast hip hop', 'g-funk', 'hip hop']"
273,279,Brandy,['r&b']
274,280,Sam the Kid,['portuguese hip hop']
275,281,Dealema,['portuguese hip hop']
276,282,Boss AC,['portuguese hip hop']
277,283,Ana Carolina,"['mpb', 'brazilian pop', 'nova mpb']"
278,284,Dilated Peoples,"['west coast hip hop', 'underground hip hop', 'hip hop']"
279,285,Janet Jackson,['new jack swing']
280,286,Peter Tosh,"['reggae', 'roots reggae', 'rocksteady', 'ragga', 'dub']"
281,287,Monica,['r&b']
283,289,Britney Spears,['pop']
285,291,Kelly Clarkson,['christmas']
287,293,Ashlee Simpson,['bubblegum pop']
294,300,Katy Perry,['pop']
295,301,Alicia Keys,"['r&b', 'neo soul']"
296,302,P!nk,"['opera', 'mizrahi']"
297,303,Panic at the Disco,['emo']
309,315,Matt Pokora,['variété française']
316,322,Ashanti,['r&b']
321,327,Chris Brown,['r&b']
322,328,David Guetta,"['edm', 'dance']"
324,330,T.I.,['canzone napoletana']
325,331,Kanye West,['rap']
329,335,Sandy,"['cantopop', 'mandopop', 'c-pop', 'taiwanese pop']"
332,338,Queensberry,['europop']
333,339,Fady Maalouf,['christmas']
334,340,Cher,"['chamber music', 'opera']"
337,343,Annett Louisan,['german pop']
339,345,Nadja Benaissa,['german pop']
340,346,Lena,['alternative r&b']
341,347,Cassandra Steen,['german pop']
342,348,Wir sind Helden,"['german pop', 'neue deutsche welle']"
345,351,Gabrielle,['uk garage']
348,354,Sarah Connor,"['german pop', 'christmas']"
349,355,Jason Mraz,"['soft pop', 'acoustic pop']"
350,356,Brad Paisley,['country']
351,357,Silbermond,['german pop']
353,359,Maria Mena,['norwegian pop']
354,360,Shania Twain,['country']
358,364,Sugarland,['country']
360,366,Jack Johnson,['surf rock']
361,367,BIG BANG,['k-pop']
363,369,2PM,['k-pop']
364,370,Katatonia,"['gothic metal', 'doom metal', 'progressive metal', 'progressive rock', 'metal', 'melodic metal']"
365,371,Skillet,"['christian rock', 'christian alternative rock', 'christian', 'rock']"
367,373,Jay Park,"['k-rap', 'k-pop']"
368,374,å®å¤ç°ãã«ã«,['dream pop']
370,376,UVERworld,"['anime', 'j-rock', 'j-pop']"
371,377,Linkin Park,"['nu metal', 'rap metal', 'rock', 'alternative metal']"
372,378,Evanescence,['alternative metal']
375,381,C.N.BLUE,"[""children's music""]"
376,382,BUCK-TICK,"['visual kei', 'j-rock']"
377,383,Bad Religion,"['punk', 'skate punk', 'hardcore punk', 'melodic hardcore', 'ska punk']"
379,385,T.M.Revolution,"['anime', 'j-rock', 'j-pop']"
380,386,Cascada,"['europop', 'eurodance']"
382,388,B2ST,"['lo-fi beats', 'lo-fi']"
383,389,Enya,"['new age', 'celtic']"
384,390,GACKT,"['visual kei', 'j-rock', 'j-pop']"
385,391,Sinamore,"['gothic metal', 'gothic rock', 'doom metal', 'drone metal', 'symphonic metal']"
387,393,Super Junior,['k-pop']
389,395,NEWS,['classical']
394,400,2NE1,['k-pop']
397,403,The All-American Rejects,"['pop punk', 'emo']"
398,404,ë°±ì§ì,"['latin pop', 'latin']"
399,405,The Rasmus,['finnish rock']
400,406,HYDE,"['gospel', 'african gospel']"
401,407,Akira Yamaoka,['japanese vgm']
402,408,Crossfade,['post-grunge']
403,409,G-Dragon,"['k-pop', 'k-rap']"
404,410,GD&TOP,"['k-pop', 'k-rap']"
406,412,blink-182,"['pop punk', 'punk', 'rock', 'skate punk', 'emo']"
407,413,After School,['k-pop']
408,414,Wasted Land,"['melodic death metal', 'folk metal']"
409,415,Laith Al-Deen,['german pop']
410,416,The National,['indie rock']
411,417,Cordel do Fogo Encantado,['nova mpb']
413,419,Tokyo Police Club,['indie rock']
414,420,The Kills,['garage rock']
417,423,Bat for Lashes,"['art pop', 'dream pop']"
418,424,The Strokes,"['garage rock', 'indie rock', 'alternative rock']"
419,425,Yeah Yeah Yeahs,['indie rock']
420,426,Rilo Kiley,['indie pop']
421,427,The Cribs,"['indie rock', 'indie']"
422,428,The Libertines,"['britpop', 'indie', 'indie rock', 'garage rock']"
423,429,The Smiths,"['new wave', 'madchester', 'jangle pop']"
425,431,Wolf Parade,['indie rock']
426,432,Klaxons,"['new rave', 'alternative dance', 'indie']"
427,433,Broken Social Scene,"['baroque pop', 'indie rock', 'indie']"
428,434,Spoon,"['malay', 'malaysian pop', 'malay pop']"
429,435,Black Lips,['garage rock']
430,436,The Smashing Pumpkins,"['alternative rock', 'rock']"
431,437,She & Him,['christmas']
433,439,Los Hermanos,['merengue']
434,440,Animal Collective,"['neo-psychedelic', 'indie rock']"
435,441,Joy Division,"['post-punk', 'new wave', 'gothic rock', 'darkwave', 'madchester', 'cold wave']"
436,442,The Tallest Man on Earth,"['indie folk', 'folk']"
437,443,The Rakes,"['new rave', 'garage rock']"
438,444,mÃºm,"['reggae', 'roots reggae']"
439,445,Bon Iver,['indie folk']
440,446,Ra Ra Riot,['baroque pop']
441,447,Manu Chao,['latin alternative']
443,449,Poney Express,"['french pop', 'french indie pop']"
444,450,She Wants Revenge,"['darkwave', 'gothic rock', 'post-punk']"
446,452,Mundo Livre S/A,"['nova mpb', 'brazilian rock']"
447,453,Silverchair,"['grunge', 'post-grunge']"
451,457,Aaron Carter,['bubblegum pop']
462,468,Usher,['r&b']
466,472,3 Doors Down,['post-grunge']
469,475,Eminem,"['rap', 'hip hop']"
470,476,M. Pokora,"['french pop', 'variété française', 'chanson']"
472,478,ÐÐÐ ÐÑÐ°,['pop']
474,480,Guf,"['opera', 'mizrahi']"
475,481,Simple Plan,"['pop punk', 'punk', 'emo']"
477,483,Centr,"['uk drill', 'drill', 'grime']"
481,487,The Birthday Massacre,"['gothic rock', 'industrial rock', 'gothic metal', 'industrial', 'darkwave', 'ebm']"
482,488,Three Days Grace,"['post-grunge', 'rock']"
483,489,Limp Bizkit,"['nu metal', 'rap metal', 'alternative metal', 'rap rock']"
484,490,Seether,"['post-grunge', 'alternative metal', 'rock']"
485,491,Fort Minor,['rap rock']
486,492,Funeral for a Friend,"['post-hardcore', 'screamo', 'emo']"
488,494,Finch,['schlagerparty']
489,495,This Beautiful Republic,"['christian rock', 'christian alternative rock', 'chinese rock']"
491,497,Papa Roach,"['nu metal', 'rap metal', 'alternative metal', 'rap rock', 'rock']"
492,498,Paramore,"['pop punk', 'emo']"
493,499,Flyleaf,"['christian rock', 'christian alternative rock', 'emo']"
494,500,Bullet for My Valentine,"['metalcore', 'metal']"
495,501,Angels & Airwaves,['pop punk']
496,502,LaFee,['german pop']
497,503,In Flames,"['melodic death metal', 'metal', 'death metal', 'metalcore']"
498,504,HIM,"['bollywood', 'hindi pop', 'desi']"
499,505,Digital Summer,['alternative metal']
500,506,Anathema,"['doom metal', 'gothic metal', 'progressive rock', 'progressive metal']"
501,507,Saosin,"['post-hardcore', 'screamo', 'emo']"
503,509,Pitchshifter,"['industrial metal', 'industrial rock', 'industrial', 'nu metal', 'alternative metal']"
504,510,P.O.D.,"['big room', 'electronica', 'edm', 'electro']"
505,511,U2,"['opera', 'mizrahi']"
506,512,Deftones,"['nu metal', 'alternative metal', 'rap metal', 'shoegaze', 'rock']"
507,513,Traff!c,['folk pop']
509,515,Clan of Xymox,"['darkwave', 'deathrock', 'post-punk', 'cold wave', 'ebm', 'industrial', 'new wave', 'gothic metal']"
510,516,Celldweller,"['synthwave', 'industrial metal', 'industrial rock', 'industrial']"
512,518,Within Temptation,"['symphonic metal', 'gothic metal', 'gothic rock', 'metal', 'power metal']"
513,519,Static-X,"['nu metal', 'industrial metal', 'industrial rock', 'industrial', 'rap metal', 'metal', 'alternative metal']"
514,520,Fluke,['electro house']
516,522,Lacrimosa,"['gothic metal', 'symphonic metal', 'gothic rock', 'darkwave']"
521,527,Lil' Wayne,"['rap', 'hip hop']"
523,529,Paul van Dyk,"['trance', 'progressive trance']"
524,530,Alphabeat,['europop']
526,532,Little Boots,['electropop']
530,536,Good Charlotte,"['pop punk', 'punk', 'emo']"
531,537,The Used,"['emo', 'screamo', 'post-hardcore', 'pop punk']"
532,538,Maroon 5,['pop']
533,539,Gossip,"['riot grrrl', 'queercore']"
534,540,Fall Out Boy,"['emo', 'pop punk', 'emo pop']"
536,542,Pitty,"['brazilian rock', 'mpb', 'brazilian pop']"
540,546,The Ting Tings,['alternative dance']
543,549,The Sonics,"['proto-punk', 'garage rock']"
544,550,The Fleshtones,"['garage rock', 'psychobilly', 'power pop']"
545,551,The Satelliters,"['garage rock', 'proto-punk', 'power pop']"
546,552,The Barracudas,"['power pop', 'jangle pop', 'garage rock', 'surf rock', 'proto-punk']"
547,553,The Staggers,"['horror punk', 'psychobilly']"
548,554,The Kinks,"['proto-punk', 'baroque pop']"
549,555,The Swingin' Neckbreakers,['horror punk']
550,556,The Strollers,"['malaysian pop', 'rockabilly', 'psychedelic rock']"
551,557,The Fuzztones,"['garage rock', 'psychobilly', 'horror punk', 'go-go']"
552,558,The Maharajas,"['garage rock', 'power pop', 'proto-punk']"
553,559,Southern Culture on the Skids,"['psychobilly', 'rockabilly', 'alt country']"
554,560,The Woggles,"['garage rock', 'power pop']"
555,561,The Untamed Youth,"['surf rock', 'garage rock']"
556,562,The Who,"['classic rock', 'rock']"
557,563,Small Faces,"['proto-punk', 'psychedelic rock', 'northern soul', 'acid rock']"
558,564,Mahalia Jackson,"['gospel', 'christmas']"
559,565,Howlin' Wolf,"['blues', 'classic blues', 'blues rock']"
560,566,Jackie Wilson,"['northern soul', 'motown', 'soul']"
561,567,Sam Cooke,"['motown', 'soul']"
563,569,Otis Redding,"['soul', 'motown', 'soul blues']"
564,570,Little Richard,"['rockabilly', 'rock and roll', 'doo-wop', 'boogie-woogie']"
565,571,LaVern Baker,"['swing music', 'boogie-woogie', 'doo-wop', 'rockabilly']"
566,572,Ray Charles,"['jazz blues', 'soul', 'soul blues', 'blues', 'vocal jazz']"
567,573,The Detroit Cobras,"['garage rock', 'rockabilly', 'psychobilly']"
568,574,Big Mama Thornton,"['blues', 'classic blues']"
569,575,Aretha Franklin,"['soul', 'motown', 'jazz blues']"
570,576,Marvin Gaye,"['motown', 'soul', 'northern soul', 'quiet storm']"
571,577,Ruth Brown,"['boogie-woogie', 'jazz blues', 'swing music', 'rockabilly', 'blues']"
572,578,James Brown,"['soul', 'motown', 'funk']"
573,579,Big Maybelle,"['doo-wop', 'blues', 'northern soul', 'classic blues']"
574,580,Muddy Waters,"['blues', 'classic blues', 'blues rock', 'jazz blues', 'soul blues']"
575,581,Elmore James,"['blues', 'classic blues', 'blues rock']"
576,582,Sonny Boy Williamson,"['blues', 'classic blues', 'country blues', 'blues rock']"
577,583,John Lee Hooker,"['blues', 'classic blues', 'blues rock', 'country blues', 'soul blues', 'jazz blues']"
578,584,The Isley Brothers,"['motown', 'quiet storm', 'soul', 'northern soul']"
579,585,Chuck Berry,"['rockabilly', 'rock and roll']"
580,586,Professor Longhair,"['boogie-woogie', 'blues', 'classic blues']"
581,587,Sister Rosetta Tharpe,"['blues', 'classic blues']"
582,588,Big Joe Turner,"['boogie-woogie', 'doo-wop', 'classic blues', 'blues', 'rockabilly']"
583,589,Andre Williams,['classical']
584,590,Louis Prima,"['swing music', 'big band']"
585,591,Charles Aznavour,"['chanson', 'variété française', 'french jazz']"
586,592,Ennio Morricone,['soundtrack']
587,593,Renato Carosone,"['canzone napoletana', 'italo dance']"
588,594,The Pretty Things,"['psychedelic rock', 'acid rock', 'proto-punk', 'garage rock', 'psychedelic pop']"
589,595,The Titty Twisters Orchestra,"['go-go', 'psychobilly']"
590,596,The Montesas,"['rockabilly', 'psychobilly', 'garage rock', 'surf rock']"
591,597,The Easybeats,"['proto-punk', 'psychedelic rock', 'garage rock']"
592,598,The Gruesomes,"['garage rock', 'proto-punk', 'go-go']"
593,599,David Bowie,"['glam rock', 'art rock']"
594,600,le bowl,"['classical', 'orchestra']"
595,601,Prince,"['bachata', 'latin', 'bachata pop']"
596,602,Iron & Wine,"['indie folk', 'chamber pop']"
597,603,Aphex Twin,"['idm', 'ambient', 'electronica']"
599,605,Beastie Boys,"['rap rock', 'east coast hip hop', 'hip hop']"
601,607,Jethro Tull,"['progressive rock', 'symphonic rock', 'art rock', 'classic rock']"
603,609,Nick Drake,"['folk', 'singer-songwriter']"
604,610,Miles Davis,"['jazz', 'cool jazz', 'hard bop', 'bebop', 'jazz fusion', 'jazz blues', 'free jazz']"
605,611,The Sea and Cake,['post-rock']
606,612,Talking Heads,"['new wave', 'post-punk']"
607,613,John Coltrane,"['jazz', 'hard bop', 'free jazz', 'bebop', 'cool jazz', 'jazz blues']"
608,614,Pearl Jam,"['grunge', 'rock', 'post-grunge']"
609,615,Elliott Smith,['singer-songwriter']
610,616,Squarepusher,"['idm', 'breakcore', 'glitch']"
611,617,The Roots,"['east coast hip hop', 'jazz rap', 'hip hop']"
612,618,Belle and Sebastian,"['chamber pop', 'baroque pop']"
613,619,A Tribe Called Quest,"['jazz rap', 'east coast hip hop', 'hip hop']"
614,620,Pulp,"['britpop', 'madchester']"
615,621,The Album Leaf,"['post-rock', 'ambient']"
616,622,Sufjan Stevens,"['chamber pop', 'baroque pop']"
617,623,Clogs,['indie folk']
618,624,Great Lake Swimmers,"['indie folk', 'folk']"
619,625,Thelonious Monk,"['jazz', 'bebop', 'hard bop', 'cool jazz', 'free jazz']"
620,626,A.A. Bondy,"['alt country', 'indie folk']"
621,627,Saint Etienne,"['britpop', 'madchester', 'alternative dance']"
623,629,of Montreal,"['psychedelic pop', 'baroque pop', 'art pop']"
624,630,Neil Young,"['classic rock', 'folk rock', 'singer-songwriter', 'roots rock']"
626,632,Explosions in the Sky,['post-rock']
627,633,Ornette Coleman,"['free jazz', 'jazz', 'avant-garde', 'hard bop', 'bebop']"
630,636,Ivi Adamou,['laïko']
631,637,Helena Paparizou,['laïko']
635,641,Laura Pausini,"['latin pop', 'italo dance']"
637,643,Nikolas Metaxas,['entehno']
638,644,Inna,['europop']
639,645,Stavento,"['laïko', 'entehno']"
641,647,Eleftheria Eleftheriou,['entehno']
642,648,Antonis Remos,"['laïko', 'entehno']"
643,649,D'Nash,['raï']
644,650,Giorgos Papadopoulos,['laïko']
646,652,Hadise,"['turkish pop', 't-pop']"
648,654,Onirama,"['entehno', 'laïko']"
649,655,Jessy Matador,['zouk']
650,656,Master Tempo,['laïko']
655,661,Stromae,['french pop']
657,663,Sakis Rouvas,['laïko']
661,667,Evridiki,"['entehno', 'laïko']"
662,668,Mando,"['corrido', 'banda', 'norteño', 'música mexicana']"
664,670,Safura,"['malay', 'malay pop', 'malaysian pop']"
665,671,Alkistis Protopsalti,"['entehno', 'laïko']"
667,673,Christos Dantis,"['laïko', 'entehno']"
668,674,Darin,"['big band', 'adult standards', 'swing music', 'doo-wop']"
671,677,Kostas Martakis,['laïko']
673,679,Glee Cast,['christmas']
677,683,John Mayer,['singer-songwriter']
681,687,All Time Low,"['pop punk', 'emo', 'emo pop', 'punk']"
683,689,Florence + the Machine,['baroque pop']
687,693,Hey Monday,"['emo pop', 'pop punk', 'emo']"
691,697,Sia,"['egyptian pop', 'egyptian hip hop', 'arabic hip hop']"
694,700,Boyce Avenue,['acoustic pop']
695,701,Shakira,['latin pop']
699,705,Engenheiros do Hawaii,"['brazilian rock', 'mpb', 'brazilian pop', 'pop rock']"
700,706,AC/DC,"['rock', 'hard rock', 'classic rock', 'rock and roll']"
701,707,Metallica,"['metal', 'thrash metal', 'rock', 'heavy metal', 'hard rock']"
702,708,Capital Inicial,"['brazilian rock', 'mpb', 'brazilian pop', 'pop rock']"
703,709,The White Stripes,"['garage rock', 'blues rock', 'rock', 'alternative rock']"
704,710,Black Label Society,"['groove metal', 'metal', 'heavy metal']"
705,711,Mark Knopfler,['soft rock']
706,712,Dire Straits,['classic rock']
707,713,Gotthard,"['album rock', 'arena rock', 'hard rock']"
710,716,Kaiser Chiefs,"['britpop', 'indie rock']"
711,717,Electric Light Orchestra,"['symphonic rock', 'art rock']"
712,718,Johnny Cash,['country']
713,719,Orishas,"['latin hip hop', 'latin alternative', 'latin', 'son cubano']"
714,720,Social Distortion,"['punk', 'skate punk', 'ska punk', 'psychobilly']"
715,721,Wim Mertens,"['minimalism', 'new age', 'neoclassical']"
717,723,Buena Vista Social Club,"['son cubano', 'latin jazz', 'latin', 'bolero']"
718,724,Ozzy Osbourne,"['metal', 'glam metal', 'heavy metal', 'hard rock']"
